DOLocationID,PULocationID,RatecodeID,VendorID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,diff
229,229,1,2,2.5,0.5,7.0,0.3,0.5,1,2,N,0.0,0.0,10.8,2021-01-01 00:44:07,2021-01-01 00:34:36,.27,2021-01-01 13:04:36,2021-01-01 13:14:07,571
229,249,1,1,2.5,3.0,13.5,0.3,0.5,1,1,N,10.0,0.0,27.3,2021-01-01 00:59:55,2021-01-01 00:46:05,3.7,2021-01-01 13:16:05,2021-01-01 13:29:55,830
87,164,1,1,2.5,3.0,13.5,0.3,0.5,2,1,Y,4.3,0.0,21.6,2021-01-01 00:20:09,2021-01-01 00:06:23,3.7,2021-01-01 12:36:23,2021-01-01 12:50:09,826
229,132,2,2,2.5,0.0,52.0,0.3,0.5,3,1,N,11.06,0.0,66.36,2021-01-01 01:01:27,2021-01-01 00:36:53,16.54,2021-01-01 13:06:53,2021-01-01 13:31:27,1474
87,113,1,2,2.5,0.5,9.5,0.3,0.5,1,1,N,2.66,0.0,15.96,2021-01-01 00:15:06,2021-01-01 00:04:44,2.19,2021-01-01 12:34:44,2021-01-01 12:45:06,622
48,261,1,2,2.5,0.5,15.5,0.3,0.5,1,1,N,3.86,0.0,23.16,2021-01-01 00:40:05,2021-01-01 00:23:01,4.09,2021-01-01 12:53:01,2021-01-01 13:10:05,1024
48,125,1,2,2.5,0.5,11.5,0.3,0.5,1,2,N,0.0,0.0,15.3,2021-01-01 00:41:00,2021-01-01 00:30:06,3.26,2021-01-01 13:00:06,2021-01-01 13:11:00,654
143,48,1,2,2.5,0.5,5.5,0.3,0.5,1,1,N,2.79,0.0,12.09,2021-01-01 00:51:49,2021-01-01 00:46:50,1.11,2021-01-01 13:16:50,2021-01-01 13:21:49,299
231,186,1,2,2.5,0.5,10.0,0.3,0.5,1,1,N,2.76,0.0,16.56,2021-01-01 00:56:55,2021-01-01 00:47:59,2.87,2021-01-01 13:17:59,2021-01-01 13:26:55,536
24,246,1,1,2.5,3.0,14.0,0.3,0.5,2,1,N,3.55,0.0,21.35,2021-01-01 00:46:17,2021-01-01 00:33:01,4,2021-01-01 13:03:01,2021-01-01 13:16:17,796
211,158,1,1,2.5,3.0,7.0,0.3,0.5,1,2,Y,0.0,0.0,10.8,2021-01-01 00:37:10,2021-01-01 00:29:44,1.3,2021-01-01 12:59:44,2021-01-01 13:07:10,446
249,170,1,1,2.5,3.0,9.5,0.3,0.5,3,1,Y,2.65,0.0,15.95,2021-01-01 01:02:06,2021-01-01 00:52:34,2.3,2021-01-01 13:22:34,2021-01-01 13:32:06,572
236,237,1,1,2.5,3.0,5.0,0.3,0.5,1,1,N,0.75,0.0,9.55,2021-01-01 00:47:08,2021-01-01 00:43:00,.80,2021-01-01 13:13:00,2021-01-01 13:17:08,248
248,141,1,2,2.5,0.5,21.0,0.3,0.5,1,2,N,0.0,0.0,24.8,2021-01-01 00:35:57,2021-01-01 00:20:06,7,2021-01-01 12:50:06,2021-01-01 13:05:57,951
263,75,1,2,0.0,0.5,3.5,0.3,0.5,1,2,N,0.0,0.0,4.8,2021-01-01 00:54:00,2021-01-01 00:52:28,.51,2021-01-01 13:22:28,2021-01-01 13:24:00,92
141,263,1,2,2.5,0.5,5.5,0.3,0.5,1,1,N,1.86,0.0,11.16,2021-01-01 01:00:09,2021-01-01 00:56:22,1.17,2021-01-01 13:26:22,2021-01-01 13:30:09,227
75,162,1,1,2.5,3.0,10.5,0.3,0.5,1,1,Y,2.85,0.0,17.15,2021-01-01 00:38:50,2021-01-01 00:30:01,3,2021-01-01 13:00:01,2021-01-01 13:08:50,529
233,263,1,1,2.5,3.0,7.5,0.3,0.5,2,2,Y,0.0,0.0,11.3,2021-01-01 00:51:21,2021-01-01 00:45:34,2,2021-01-01 13:15:34,2021-01-01 13:21:21,347
263,141,1,1,2.5,3.0,5.0,0.3,0.5,2,1,N,2.5,0.0,11.3,2021-01-01 00:37:27,2021-01-01 00:34:38,1.1,2021-01-01 13:04:38,2021-01-01 13:07:27,169
141,263,1,1,2.5,3.0,4.0,0.3,0.5,1,1,N,2.0,0.0,9.8,2021-01-01 00:41:19,2021-01-01 00:39:50,.60,2021-01-01 13:09:50,2021-01-01 13:11:19,89
142,262,1,1,2.5,3.0,10.0,0.3,0.5,3,1,N,2.0,0.0,15.8,2021-01-01 00:56:54,2021-01-01 00:47:18,2.5,2021-01-01 13:17:18,2021-01-01 13:26:54,576
263,137,1,2,2.5,0.5,11.0,0.3,0.5,1,1,N,2.96,0.0,17.76,2021-01-01 00:30:51,2021-01-01 00:22:09,3.58,2021-01-01 12:52:09,2021-01-01 13:00:51,522
229,140,1,2,2.5,0.5,6.5,0.3,0.5,1,1,N,2.58,0.0,12.88,2021-01-01 00:44:14,2021-01-01 00:38:55,1.24,2021-01-01 13:08:55,2021-01-01 13:14:14,319
113,140,1,2,2.5,0.5,17.0,0.3,0.5,1,1,N,4.16,0.0,24.96,2021-01-01 01:06:38,2021-01-01 00:50:24,4.78,2021-01-01 13:20:24,2021-01-01 13:36:38,974
238,140,1,2,2.5,0.5,8.0,0.3,0.5,1,1,N,2.36,0.0,14.16,2021-01-01 00:35:34,2021-01-01 00:27:50,1.69,2021-01-01 12:57:50,2021-01-01 13:05:34,464
151,239,1,2,2.5,0.5,6.0,0.3,0.5,1,1,N,1.96,0.0,11.76,2021-01-01 00:42:21,2021-01-01 00:37:55,1.33,2021-01-01 13:07:55,2021-01-01 13:12:21,266
264,75,1,2,2.5,0.5,24.5,0.3,0.5,1,1,N,5.66,0.0,33.96,2021-01-01 00:23:40,2021-01-01 00:06:11,8.06,2021-01-01 12:36:11,2021-01-01 12:53:40,1049
142,90,1,2,2.5,0.5,9.5,0.3,0.5,2,1,N,2.66,0.0,15.96,2021-01-01 00:38:53,2021-01-01 00:30:16,2.6,2021-01-01 13:00:16,2021-01-01 13:08:53,517
142,48,1,2,2.5,0.5,6.5,0.3,0.5,1,1,N,2.58,0.0,12.88,2021-01-01 00:51:20,2021-01-01 00:46:02,1.4,2021-01-01 13:16:02,2021-01-01 13:21:20,318
232,137,1,2,2.5,0.5,9.0,0.3,0.5,1,2,N,0.0,0.0,12.8,2021-01-01 00:17:32,2021-01-01 00:11:49,2.44,2021-01-01 12:41:49,2021-01-01 12:47:32,343
45,79,1,2,2.5,0.5,8.0,0.3,0.5,1,2,N,0.0,0.0,11.8,2021-01-01 00:37:25,2021-01-01 00:27:59,1.58,2021-01-01 12:57:59,2021-01-01 13:07:25,566
75,224,1,2,2.5,0.5,12.5,0.3,0.5,1,2,N,0.0,0.0,16.3,2021-01-01 00:59:10,2021-01-01 00:49:31,3.98,2021-01-01 13:19:31,2021-01-01 13:29:10,579
75,236,1,2,2.5,0.5,5.5,0.3,0.5,1,1,N,1.0,0.0,10.3,2021-01-01 00:56:08,2021-01-01 00:52:26,1.06,2021-01-01 13:22:26,2021-01-01 13:26:08,222
142,140,1,2,2.5,0.5,9.5,0.3,0.5,2,2,N,0.0,0.0,13.3,2021-01-01 00:34:29,2021-01-01 00:23:24,1.91,2021-01-01 12:53:24,2021-01-01 13:04:29,665
226,161,1,2,2.5,0.5,14.5,0.3,0.5,1,1,N,3.66,0.0,21.96,2021-01-01 00:26:47,2021-01-01 00:12:41,4.13,2021-01-01 12:42:41,2021-01-01 12:56:47,846
74,162,1,2,2.5,0.5,13.5,0.3,0.5,2,2,N,0.0,0.0,17.3,2021-01-01 00:35:03,2021-01-01 00:23:29,4.12,2021-01-01 12:53:29,2021-01-01 13:05:03,694
170,144,1,2,2.5,0.5,9.0,0.3,0.5,2,1,N,2.56,0.0,15.36,2021-01-01 00:54:25,2021-01-01 00:46:17,2.22,2021-01-01 13:16:17,2021-01-01 13:24:25,488
264,264,1,2,0.0,0.5,23.5,0.3,0.5,1,2,N,0.0,0.0,24.8,2021-01-01 00:51:44,2021-01-01 00:28:16,7.11,2021-01-01 12:58:16,2021-01-01 13:21:44,1408
237,229,1,2,2.5,0.5,9.5,0.3,0.5,3,2,N,0.0,0.0,13.3,2021-01-01 00:54:41,2021-01-01 00:42:35,1.61,2021-01-01 13:12:35,2021-01-01 13:24:41,726
151,75,1,2,0.0,0.5,7.5,0.3,0.5,1,1,N,2.2,0.0,11.0,2021-01-01 00:38:05,2021-01-01 00:32:26,1.89,2021-01-01 13:02:26,2021-01-01 13:08:05,339
236,238,1,2,2.5,0.5,7.5,0.3,0.5,1,1,N,2.82,0.0,14.12,2021-01-01 00:48:58,2021-01-01 00:42:56,1.62,2021-01-01 13:12:56,2021-01-01 13:18:58,362
